League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
europa,2025-02-13T17:45:00.000Z,RSO @ FCM,RSO +100,ml_away,game,100,100,win,1.5,1.5,15,15,
europa,2025-02-13T17:45:00.000Z,AJA @ USG,(Live) AJA PK +145,spread_away,game,145,0,win,0.5,0.725,5,7.25,
ncaab,2025-02-14T04:00:00.000Z,SF @ GONZ,,custom,game,-115,83.5,win,2.3,2,23,20,
ncaab,2025-02-15T23:00:00.000Z,VILL @ PROV,PROV +2.5 -110,spread_home,game,-110,2.5,win,1.5,1.3636,15,13.6364,
ncaab,2025-02-15T23:00:00.000Z,WAKE @ SMU,WAKE +8 -110,spread_away,game,-110,8,win,1.5,1.3636,15,13.6364,
ncaab,2025-02-16T05:00:00.000Z,UCI @ HAW,HAW +5.5 -105,spread_home,game,-105,5.5,loss,1.05,-1.05,10.5,-10.5,
champions,2025-02-18T20:00:00.000Z,BRU @ ATA,ATA +110,ml_home,game,110,110,loss,1.364,-1.364,13.64,-13.64,
champions,2025-02-18T20:00:00.000Z,CEL @ BMU,(Live) BMU -0.75 -189,spread_home,game,-189,-0.75,loss,2.835,-2.835,28.35,-28.35,
champions,2025-02-19T20:00:00.000Z,MCI @ RMA,MCI +215,ml_away,game,215,215,loss,0.1,-0.1,1,-1,
ncaab,2025-02-20T02:00:00.000Z,GONZ @ WSU,GONZ -12.5 -105,spread_away,game,-105,-12.5,win,5.25,5,52.5,50,
bundesliga,2025-02-21T19:30:00.000Z,SVW @ SCF,SCF -0.25 -125,spread_home,game,-125,-0.25,win,1.25,1,12.5,10,
epl,2025-02-22T12:30:00.000Z,MUN @ EVE,MUN +195,ml_away,game,195,195,loss,1,-1,10,-10,
epl,2025-02-22T15:00:00.000Z,WHU @ ARS,ARS -305,ml_home,game,-305,-305,loss,1.2,-1.2,12,-12,
epl,2025-02-22T15:00:00.000Z,WOL @ BOU,BOU -1 -110,spread_home,game,-110,-1,loss,1.1,-1.1,11,-11,
epl,2025-02-22T15:00:00.000Z,TOT @ IPS,TOT -104,ml_away,game,-104,-104,win,1.56,1.5,15.6,15,
ncaab,2025-02-22T19:00:00.000Z,PSU @ MINN,PSU +3.5 -122,spread_away,game,-122,3.5,win,1.22,1,12.2,10,
ncaab,2025-02-22T23:00:00.000Z,SCU @ WSU,WSU +2.5 -125,spread_home,game,-125,2.5,loss,1.875,-1.875,18.75,-18.75,
ncaab,2025-02-23T01:00:00.000Z,MIZZ @ ARK,ARK +2 -122,spread_home,game,-122,2,win,1.22,1,12.2,10,
ncaab,2025-02-23T01:00:00.000Z,SMC @ GONZ,(1H) GONZ -3.5 -104,spread_home,firsthalf,-104,-3.5,loss,2.2,-2.2,22,-22,
ncaab,2025-02-23T01:00:00.000Z,SMC @ GONZ,GONZ -6.5 -110,spread_home,game,-110,-6.5,loss,4.4,-4.4,44,-44,
laliga,2025-02-23T13:00:00.000Z,VLL @ ATH,ATH -2 -110,spread_home,game,-110,-2,win,1.1,1,11,10,
ncaab,2025-02-23T19:00:00.000Z,TULN @ WICH,TULN +4.5 -110,spread_away,game,-110,4.5,loss,3.24,-3.24,32.4,-32.4,
nba,2025-03-01T00:30:00.000Z,POR @ BKN,,custom,game,-116,18.5,loss,6,-6,60,-60,
nba,2025-03-05T01:30:00.000Z,BKN @ SAS,,custom,game,-118,18.5,win,7.198,6.1,71.98,61,
champions,2025-03-05T20:00:00.000Z,BAR @ BEN,BAR -125,ml_away,game,-125,-125,win,5,4,50,40,
europa,2025-03-06T17:45:00.000Z,OL @ FCSB,OL -110,ml_away,game,-110,-110,win,3.3,3,33,30,
europa,2025-03-06T20:00:00.000Z,LAZ @ VIK,LAZ -110,ml_away,game,-110,-110,win,3.41,3.1,34.1,31,
bundesliga,2025-03-08T14:30:00.000Z,BOC @ BMU,BMU -2.5 +105,spread_home,game,105,-2.5,loss,2.2,-2.2,22,-22,
seriea,2025-03-08T19:45:00.000Z,MON @ INT,INT -125,ml_home,game,-125,-125,win,1.5,1.2,15,12,
ligue1,2025-03-09T14:00:00.000Z,ANG @ STB,STB -135,ml_home,game,-135,-135,win,1.35,1,13.5,10,
ncaab,2025-03-14T23:00:00.000Z,UNC @ DUKE,UNC +7 -105,spread_away,game,-105,7,win,1.1,1.0476,11,10.4762,
ncaab,2025-03-15T01:30:00.000Z,UK @ ALA,UK +7.5 -115,spread_away,game,-115,7.5,loss,1.1,-1.1,11,-11,
bundesliga,2025-03-15T14:30:00.000Z,BMU @ UNI,BMU -1.5 -115,spread_away,game,-115,-1.5,loss,1.25,-1.25,12.5,-12.5,
epl,2025-03-15T15:00:00.000Z,NFO @ IPS,NFO +100,ml_away,game,100,100,win,2.45,2.45,24.5,24.5,
seriea,2025-03-15T17:00:00.000Z,COM @ ACM,ACM -125,ml_home,game,-125,-125,win,1.875,1.5,18.75,15,
seriea,2025-03-15T19:45:00.000Z,EMP @ TOR,(Live) TOR +125,ml_home,game,125,125,win,1,1.25,10,12.5,
seriea,2025-03-16T11:30:00.000Z,NAP @ VEN,NAP -210,ml_away,game,-210,-210,loss,1.38,-1.38,13.8,-13.8,
bundesliga,2025-03-16T14:30:00.000Z,SGE @ BOC,SGE +125,ml_away,game,125,125,win,1.5,1.875,15,18.75,
bundesliga,2025-03-16T16:30:00.000Z,HOK @ FCH,FCH +100,ml_home,game,-100,-100,win,0.8,0.8,8,8,
mls,2025-03-16T23:00:00.000Z,MIA @ ATL,,custom,game,125,-110,win,1.2,1.5,12,15,
ncaab,2025-03-18T22:40:00.000Z,SFPA @ ALST,SFPA @ ALST: u138 -110,under,game,-110,138,push,1.1,0,11,0,
ncaab,2025-03-19T01:21:00.000Z,UNC @ SDSU,,custom,game,-115,73.5,win,1.38,1.2,13.8,12,
ncaab,2025-03-20T01:18:00.000Z,XAV @ TEX,XAV -140,ml_away,game,-140,-140,win,2.5,1.7857,25,17.8571,
ncaab,2025-03-20T19:24:00.000Z,MCNS @ CLEM,CLEM -7.5 -110,spread_home,game,-110,-7.5,loss,4.5,-4.5,45,-45,
ncaab,2025-03-20T16:15:00.000Z,CREI @ LOU,CREI @ LOU: u145.5 -110,under,game,-110,145.5,loss,1.1,-1.1,11,-11,
ncaab,2025-03-20T16:15:00.000Z,CREI @ LOU,(Live) CREI @ LOU: u160.5 -130,under,game,-130,160.5,loss,1,-1,10,-10,
ncaab,2025-03-20T16:40:00.000Z,HP @ PUR,HP +8 -110,spread_away,game,-110,8,loss,1.65,-1.65,16.5,-16.5,
ncaab,2025-03-20T17:30:00.000Z,MONT @ WIS,(Live) WIS -14.5 -108,spread_home,game,-108,-14.5,win,1.08,1,10.8,10,
ncaab,2025-03-20T18:00:00.000Z,SIUE @ HOU,SIUE @ HOU: o127.5 -110,over,game,-110,127.5,loss,2.1,-2.1,21,-21,
ncaab,2025-03-20T19:24:00.000Z,MCNS @ CLEM,CLEM -7.5 +100,spread_home,game,100,-7.5,loss,2,-2,20,-20,
ncaab,2025-03-20T20:05:00.000Z,VCU @ BYU,VCU @ BYU: o146.5 -110,over,game,-110,146.5,win,1.1,1,11,10,
ncaab,2025-03-20T20:05:00.000Z,VCU @ BYU,,custom,game,100,7.5,win,2.5,2.5,25,25,
ncaab,2025-03-20T20:35:00.000Z,UGA @ GONZ,,custom,game,-130,8.5,loss,7,-7,70,-70,
nhl,2025-03-20T23:00:00.000Z,TOR @ NYR,NYR -135,ml_home,game,-135,-135,loss,2.5,-2.5,25,-25,
ncaab,2025-03-20T23:10:00.000Z,ARK @ KU,ARK @ KU: u145.5 -105,under,game,-105,145.5,loss,1.1,-1.1,11,-11,
ncaab,2025-03-20T23:10:00.000Z,ARK @ KU,(Live) KU -4.5 +117,spread_home,game,117,-4.5,loss,5,-5,50,-50,
ncaab,2025-03-20T23:10:00.000Z,ARK @ KU,(Live) KU -2.5 -118,spread_home,game,-118,-2.5,loss,1.1,-1.1,11,-11,
nhl,2025-03-20T23:30:00.000Z,MTL @ NYI,NYI -141,ml_home,game,-141,-141,win,1.41,1,14.1,10,
nhl,2025-03-21T00:00:00.000Z,TB @ DAL,TB -120,ml_away,game,-120,-120,win,1.2,1,12,10,
ncaab,2025-03-21T02:09:00.000Z,UCSD @ MICH,MICH -137,ml_home,game,-137,-137,win,7,5.1095,70,51.0949,
ncaab,2025-03-21T02:42:00.000Z,UNCW @ TTU,TTU -15.5 -110,spread_home,game,-110,-15.5,loss,2.2,-2.2,22,-22,
ncaab,2025-03-21T02:42:00.000Z,UNCW @ TTU,(1H) UNCW @ TTU: o67.5 -115,over,firsthalf,-115,67.5,win,1.15,1,11.5,10,
ncaab,2025-03-21T16:15:00.000Z,BAY @ MSST,(Live) MSST -1.5 -109,spread_home,game,-109,-1.5,loss,1.09,-1.09,10.9,-10.9,
ncaab,2025-03-21T18:00:00.000Z,CSU @ MEM,MEM +120,ml_home,game,120,120,loss,6,-6,60,-60,
ncaab,2025-03-21T19:34:00.000Z,VAN @ SMC,,custom,game,104,8.5,win,1,1.04,10,10.4,
ncaab,2025-03-21T23:20:00.000Z,TROY @ UK,UK -11.5 -110,spread_home,game,-110,-11.5,win,3.5,3.1818,35,31.8182,
ncaab,2025-03-21T23:20:00.000Z,TROY @ UK,UK -11 -110,spread_home,game,-110,-11,win,3.85,3.5,38.5,35,
ncaab,2025-03-21T23:25:00.000Z,UNM @ MARQ,UNM +160,ml_away,game,160,160,win,3,4.8,30,48,
ncaab,2025-03-22T01:32:00.000Z,OKLA @ CONN,,custom,game,-105,16.5,loss,1,-1,10,-10,
ncaab,2025-03-22T02:26:00.000Z,LIB @ ORE,ORE -6.5 -110,spread_home,game,-110,-6.5,win,4.4,4,44,40,
ncaab,2025-03-22T21:30:00.000Z,MICH @ TXAM,MICH +2.5 -105,spread_away,game,-105,2.5,win,1.05,1,10.5,10,
ncaab,2025-03-22T22:10:00.000Z,DRKE @ TTU,(Live) TTU -10.5 +146,spread_home,game,146,-10.5,win,1.5,2.19,15,21.9,
ncaab,2025-03-23T00:27:00.000Z,BYU @ WIS,WIS -1.5 -110,spread_home,game,-110,-1.5,loss,7,-7,70,-70,
ncaab,2025-03-23T00:27:00.000Z,BYU @ WIS,WIS -4.5 +142,spread_home,game,142,-4.5,loss,1.5,-1.5,15,-15,
ncaab,2025-03-23T21:30:00.000Z,ILL @ UK,ILL -134,ml_away,game,-134,-134,loss,1.34,-1.34,13.4,-13.4,
ncaab,2025-03-23T23:10:00.000Z,CSU @ MD,MD -7.5 -120,spread_home,game,-120,-7.5,loss,2.95,-2.95,29.5,-29.5,
ncaab,2025-03-24T00:20:00.000Z,MISS @ ISU,MISS +5.5 -106,spread_away,game,-106,5.5,win,1.5,1.4151,15,14.1509,
ncaab,2025-03-24T01:48:00.000Z,ORE @ ARIZ,(Live) ORE +146,ml_away,game,146,146,loss,1,-1,10,-10,
ncaab,2025-03-27T23:09:00.000Z,BYU @ ALA,BYU @ ALA: o175.5 -122,over,game,-122,175.5,win,3.965,3.25,39.65,32.5,
ncaab,2025-03-27T23:09:00.000Z,BYU @ ALA,ALA -5.5 -110,spread_home,game,-110,-5.5,win,1.1,1,11,10,
ncaab,2025-03-28T23:39:00.000Z,UK @ TENN,UK +4.5 -110,spread_away,game,-110,4.5,loss,1.1,-1.1,11,-11,
ncaab,2025-03-29T02:00:00.000Z,MICH @ AUB,,custom,game,-139,18.5,win,2.5,1.7986,25,17.9856,
ncaab,2025-03-29T02:28:00.000Z,PUR @ HOU,HOU -8.5 -110,spread_home,game,-110,-8.5,loss,1.1,-1.1,11,-11,
seriea,2025-03-29T19:45:00.000Z,ROM @ LEC,ROM -130,ml_away,game,-130,-130,win,3.3,2.5385,33,25.3846,
ncaab,2025-03-30T21:05:00.000Z,MSU @ AUB,AUB -5.5 -110,spread_home,game,-110,-5.5,win,3.5,3.1818,35,31.8182,
seriea,2025-03-31T18:45:00.000Z,TOR @ LAZ,LAZ -120,ml_home,game,-120,-120,loss,2.4,-2.4,24,-24,
ncaab,2025-03-31T19:00:00.000Z,UTAH @ BUT,UTAH -160,ml_away,game,-160,-160,loss,3.2,-3.2,32,-32,
mlb,2025-04-01T01:40:00.000Z,DET @ SEA,,custom,game,-141,4.5,loss,3.5,-3.5,35,-35,
ncaab,2020-11-28T20:00:00.000Z,SELA @ UAB,,custom,game,125,-110,win,2,2.5,20,25,
