League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
ncaab,2024-12-15T01:00:00.000Z,GONZ @ CONN,,custom,game,-118,8.5,loss,18,-18,180,-180,
ncaab,2024-12-15T01:00:00.000Z,GONZ @ CONN,,custom,game,122,1.5,win,2,2.44,20,24.4,
ncaab,2024-12-15T01:00:00.000Z,GONZ @ CONN,,custom,game,-118,77.5,loss,1.5,-1.5,15,-15,
laliga,2024-12-15T13:00:00.000Z,GET @ ATM,GET @ ATM: o2.25 -105,over,game,-105,2.25,loss,2.1,-2.1,21,-21,
seriea,2024-12-15T14:00:00.000Z,FIO @ BFC,FIO @ BFC: o2.25 -115,over,game,-115,2.25,loss,1.725,-1.725,17.25,-17.25,
ligue1,2024-12-15T14:00:00.000Z,NIC @ MHS,NIC -0.25 -105,spread_away,game,-105,-0.25,loss,0.525,-0.525,5.25,-5.25,
laliga,2024-12-15T15:15:00.000Z,ATH @ ALA,ATH @ ALA: o2 -125,over,game,-125,2,push,3.125,0,31.25,0,
laliga,2024-12-15T15:15:00.000Z,ATH @ ALA,,custom,game,170,1.5,loss,1.5,-1.5,15,-15,
ligue1,2024-12-15T16:00:00.000Z,FCN @ STB,,custom,game,160,1.5,win,1,1.6,10,16,
ligue1,2024-12-15T16:00:00.000Z,FCN @ STB,FCN @ STB: o2.25 +100,over,game,100,2.25,win,1.5,1.5,15,15,
nfl,2024-12-15T18:00:00.000Z,MIA @ HOU,,custom,game,-129,24.5,win,1.5,1.1628,15,11.6279,
nfl,2024-12-15T18:00:00.000Z,WAS @ NO,,custom,game,-102,1.5,loss,1.5,-1.5,15,-15,
nfl,2024-12-15T18:00:00.000Z,MIA @ HOU,,custom,game,105,105,loss,3.1,-3.1,31,-31,
nfl,2024-12-15T18:00:00.000Z,DAL @ CAR,DAL +106,ml_away,game,106,106,win,20,21.2,200,212,
epl,2024-12-15T19:00:00.000Z,BRE @ CHE,(Live) BRE @ CHE: u3.5 +100,under,game,100,3.5,win,1,1,10,10,
epl,2024-12-15T19:00:00.000Z,TOT @ SOU,TOT @ SOU: o3.75 -115,over,game,-115,3.75,win,1.15,1,11.5,10,
epl,2024-12-15T19:00:00.000Z,TOT @ SOU,,custom,game,125,2.5,win,1.5,1.875,15,18.75,
seriea,2024-12-15T19:45:00.000Z,GEN @ ACM,GEN @ ACM: o2.5 -130,over,game,-130,2.5,loss,1.95,-1.95,19.5,-19.5,
nfl,2024-12-15T21:25:00.000Z,IND @ DEN,,custom,game,-130,5.5,loss,1.5,-1.5,15,-15,
nfl,2024-12-15T21:25:00.000Z,NE @ ARI,,custom,game,125,2.5,win,1,1.25,10,12.5,
nfl,2024-12-15T21:25:00.000Z,PIT @ PHI,,custom,game,-110,14.5,loss,1.5,-1.5,15,-15,
nfl,2024-12-15T21:25:00.000Z,PIT @ PHI,PIT +5.5 -130,spread_away,game,-130,5.5,loss,1.56,-1.56,15.6,-15.6,
nfl,2024-12-15T21:25:00.000Z,BUF @ DET,,custom,game,-120,14.5,win,1.2,1,12,10,
nfl,2024-12-16T01:20:00.000Z,GB @ SEA,,custom,game,-115,74.5,win,1.5,1.3043,15,13.0435,
nfl,2024-12-16T01:20:00.000Z,GB @ SEA,,custom,game,-134,2.5,win,2,1.4925,20,14.9254,
nfl,2024-12-16T01:20:00.000Z,GB @ SEA,,custom,game,-121,34.5,win,1.2,0.9917,12,9.9174,
nfl,2024-12-17T01:00:00.000Z,CHI @ MIN,,custom,game,-110,65.5,win,1.5,1.3636,15,13.6364,
ncaab,2024-12-18T00:00:00.000Z,JMU @ WAKE,(Live) WAKE -3.5 -107,spread_home,game,-107,-3.5,win,1.446,1.3514,14.46,13.514,
ncaab,2024-12-18T00:00:00.000Z,GMU @ DUKE,,custom,game,-110,70,loss,1,-1,10,-10,
ncaab,2024-12-18T00:00:00.000Z,CLEM @ SCAR,(Live) CLEM +7.5 -123,spread_away,game,-123,7.5,win,1,0.813,10,8.1301,
ncaab,2024-12-18T00:00:00.000Z,UNC @ FLA,UNC +3.5 -110,spread_away,game,-110,3.5,loss,1.65,-1.65,16.5,-16.5,
ncaab,2024-12-18T00:30:00.000Z,JVST @ MIZZ,(Live) MIZZ -5.5 -114,spread_home,game,-114,-5.5,win,1,0.8772,10,8.7719,
ncaab,2024-12-18T01:00:00.000Z,DRKE @ KSU,(Live) KSU +6.5 -131,spread_home,game,-131,6.5,win,1,0.7634,10,7.6336,
